________                                                     ______   
___  __ \_____ ____________________ _______ _____________    ___  /__________     __  
__  /_/ /  __ `/_  ___/_  ___/  __ `/_  __ `/  _ \_  ___/    __  /_  _ \  __ \   /_/  
_  ____// /_/ /_(__  )_(__  )/ /_/ /_  /_/ //  __/(__  )     _  / /  __/ /_/ /   __   
/_/     \__,_/ /____/ /____/ \__,_/ _\__, / \___//____/      /_/  \___/\____/   /_/   
                                   /____/                                            
       ~+

                *       +
          '                  |
      ()    .-.,="``"=.    - o -
            '=/_       \     |
         *   |  '=._    |
              \     `=./`,        '
           .   '=.__.=' `='      *
  +                         +
       O      *        '       .

04/03/2023 07:28:13 => 07:41:52 | SARSAT-07 | NOAA 15
04/03/2023 07:29:17 => 07:40:44 | SARSAT-12 | NOAA 19
04/03/2023 08:54:05 => 09:06:52 | SARSAT-13 | METOP-B
04/03/2023 09:10:16 => 09:23:33 | SARSAT-12 | NOAA 19
04/03/2023 09:10:42 => 09:21:41 | SARSAT-07 | NOAA 15
04/03/2023 09:12:59 => 09:23:33 | SARSAT-10 | NOAA 18
04/03/2023 10:35:48 => 10:48:29 | SARSAT-13 | METOP-B
04/03/2023 10:53:39 => 11:07:21 | SARSAT-10 | NOAA 18
04/03/2023 10:53:52 => 11:00:39 | SARSAT-12 | NOAA 19
04/03/2023 12:16:24 => 12:23:43 | COSPAS-14 | METEOR M2-2
04/03/2023 12:36:54 => 12:45:29 | SARSAT-10 | NOAA 18
04/03/2023 13:53:51 => 14:07:19 | COSPAS-14 | METEOR M2-2
04/03/2023 15:37:04 => 15:48:17 | COSPAS-14 | METEOR M2-2
04/03/2023 17:22:05 => 17:33:11 | SARSAT-07 | NOAA 15
04/03/2023 17:25:48 => 17:32:00 | SARSAT-12 | NOAA 19
04/03/2023 18:49:46 => 18:57:48 | SARSAT-13 | METOP-B
04/03/2023 19:01:58 => 19:15:38 | SARSAT-07 | NOAA 15
04/03/2023 19:02:30 => 19:15:49 | SARSAT-12 | NOAA 19
04/03/2023 20:27:39 => 20:41:11 | SARSAT-13 | METOP-B
04/03/2023 20:44:59 => 20:56:57 | SARSAT-12 | NOAA 19
04/03/2023 20:46:30 => 20:59:03 | SARSAT-10 | NOAA 18
04/03/2023 20:48:23 => 20:54:39 | SARSAT-07 | NOAA 15
04/03/2023 22:11:14 => 22:21:58 | SARSAT-13 | METOP-B
04/03/2023 22:27:56 => 22:40:51 | SARSAT-10 | NOAA 18
05/03/2023 02:21:06 => 02:33:41 | COSPAS-14 | METEOR M2-2
